patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
721,True,1.0,"[3631, 3003]",0.9854023337364197,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.468739758427004,2.754998207092285,0.012215333001222461,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
725,True,1.0,"[3631, 955]",0.43914241790771485,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.087506011515504,0.9447388648986816,0.013665999984368682,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
727,True,1.0,"[3631, 2741]",1.146277868747711,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.692407912417332,4.247611045837402,0.012822624994441867,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
729,True,1.0,"[3631, 655]",0.6805109798908233,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.38154535394364,0.9564031362533569,0.01296604098752141,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
730,True,1.0,"[3631, 480]",1.1209171891212464,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.284149040611053,1.6944105625152588,0.013222333043813705,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
731,True,1.0,"[3631, 1770]",0.7329109668731689,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.323909597069376,1.8119784593582153,0.012537750008050352,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
736,True,1.0,"[3631, 736]",0.33434961438179017,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.485563523102077,0.4659034311771393,0.012446917011402547,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
737,True,1.0,"[3631, 1627]",0.9945690751075744,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.612662323432388,3.452622890472412,0.013602042046841234,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
738,True,1.0,"[3631, 172]",0.2011815294623375,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.22232046289916,0.19015610218048096,0.012975750025361776,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
739,True,1.0,"[3631, 432]",1.0025965094566345,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.5398676871014745,1.113640546798706,0.012447124987374991,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
740,True,1.0,"[3631, 180]",0.4533506751060486,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.532538708894075,1.1715844869613647,0.012398666993249208,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
